iter	MultiClass
0	1.009435208
1	0.9368264598
2	0.8790452222
3	0.8296672721
4	0.7870420858
5	0.751755601
6	0.7209904514
7	0.693844983
8	0.6698595337
9	0.649344485
10	0.6312896372
11	0.6153404894
12	0.6004007535
13	0.587766816
14	0.5763207191
15	0.5655510317
16	0.5564929739
17	0.5478165988
18	0.5407116166
19	0.5337887606
20	0.5267241195
21	0.5208905898
22	0.5154356687
23	0.5111367868
24	0.50646697
25	0.5026007999
26	0.4982946964
27	0.4946408652
28	0.4915029435
29	0.4880269462
30	0.4853410819
31	0.4827270575
32	0.4797013416
33	0.4775800991
34	0.4753945497
35	0.4733636369
36	0.4718801379
37	0.4699513744
38	0.4679433194
39	0.4661505324
40	0.4643512801
41	0.4631042187
42	0.4615356037
43	0.4600549703
44	0.4589271337
45	0.4575681528
46	0.4565488876
47	0.4553076586
48	0.4541822783
49	0.4529123404
50	0.4518976091
51	0.4507463334
52	0.4489497798
53	0.4480471724
54	0.4466250024
55	0.4458832398
56	0.4449767803
57	0.4442246612
58	0.443348575
59	0.4418185802
60	0.4412514156
61	0.4405140081
62	0.439793905
63	0.4388877072
64	0.4380998043
65	0.4371512947
66	0.4365298996
67	0.4357708793
68	0.4347383313
69	0.4340721899
70	0.4335004722
71	0.4329174188
72	0.4319570593
73	0.4313829215
74	0.4305015244
75	0.4296910688
76	0.4290725807
77	0.4282331636
78	0.4269369557
79	0.4261474197
80	0.4254509996
81	0.4248301133
82	0.4239243995
83	0.4234704495
84	0.4227796325
85	0.4223275109
86	0.4215215984
87	0.4209831766
88	0.4203281792
89	0.4194208045
90	0.4186738931
91	0.4175585629
92	0.4169114929
93	0.4161932847
94	0.4157745139
95	0.4152446181
96	0.4143240462
97	0.4134744828
98	0.412945802
99	0.4125708186
100	0.4117760292
101	0.4112667972
102	0.4109216931
103	0.4103555955
104	0.4097990483
105	0.4092664116
106	0.4086890727
107	0.4080078651
108	0.4076367947
109	0.4066926043
110	0.4059552436
111	0.4055773043
112	0.4049423668
113	0.4045269801
114	0.4039520498
115	0.4035600584
116	0.4030892921
117	0.4020264361
118	0.4016727504
119	0.4010975319
120	0.4007572075
121	0.400305041
122	0.3998517164
123	0.3995372464
124	0.3988620708
125	0.3982312723
126	0.3977147229
127	0.3971854697
128	0.3967859889
129	0.3962332897
130	0.395757544
131	0.3954583053
132	0.3950048316
133	0.3941219231
134	0.3938227216
135	0.3933865507
136	0.3926131517
137	0.3920597752
138	0.3914080499
139	0.390993499
140	0.390506817
141	0.3902265904
142	0.3897375184
143	0.3890231155
144	0.3885344274
145	0.3877112153
146	0.387340412
147	0.3868289928
148	0.3860347856
149	0.3857690403
150	0.3849918446
151	0.3844912583
152	0.3839717458
153	0.383462045
154	0.3829415479
155	0.3825528098
156	0.3821487647
157	0.3814623197
158	0.3809330943
159	0.3803680675
160	0.3799745947
161	0.3795474147
162	0.3789174857
163	0.3785667251
164	0.3781983547
165	0.3777859089
166	0.3772330041
167	0.3767971587
168	0.3763901519
169	0.375985262
170	0.3755421879
171	0.3750141987
172	0.374621828
173	0.37430236
174	0.3737941023
175	0.3734047879
176	0.3728837574
177	0.37249803
178	0.372006531
179	0.3716497397
180	0.3712096645
181	0.3708980023
182	0.3706073502
183	0.3703026377
184	0.3696536431
185	0.3691733206
186	0.3685912214
187	0.368053264
188	0.3673128872
189	0.3667195502
190	0.3660580165
191	0.3653637789
192	0.3651163563
193	0.3647107795
194	0.3643546193
195	0.3639633437
196	0.36352428
197	0.3632857254
198	0.3626658751
199	0.362135223
200	0.3619189645
201	0.3611289919
202	0.3605742841
203	0.3602058575
204	0.3596556487
205	0.358996571
206	0.3584247841
207	0.3582154235
208	0.3573874333
209	0.3571624023
210	0.3567160301
211	0.356191092
212	0.3559410136
213	0.3555561035
214	0.3552092429
215	0.354773972
216	0.3545149591
217	0.3538550019
218	0.3532555727
219	0.35273899
220	0.3524503062
221	0.3520917336
222	0.3518192183
223	0.3514226503
224	0.3508355474
225	0.3506400899
226	0.3504190155
227	0.3499614035
228	0.3497007644
229	0.3494080891
230	0.3490545334
231	0.3488556394
232	0.3484002229
233	0.3478932327
234	0.3476534059
235	0.3473358134
236	0.3471300208
237	0.3466740249
238	0.3463441278
239	0.3459930379
240	0.3456398296
241	0.3454003795
242	0.3450080178
243	0.3446783048
244	0.344417787
245	0.3441661958
246	0.3439697225
247	0.343512369
248	0.343145273
249	0.3427718454
250	0.3423061603
251	0.3421484139
252	0.3416203233
253	0.3412514041
254	0.3406766666
255	0.3403702556
256	0.3399865619
257	0.3396476599
258	0.339201829
259	0.3387602149
260	0.3382850525
261	0.3380723385
262	0.3377643499
263	0.3373629551
264	0.3372500074
265	0.3368769442
266	0.3365776152
267	0.3359589378
268	0.335561601
269	0.3353061965
270	0.3346464319
271	0.3337271705
272	0.3333531855
273	0.3331121813
274	0.3327183117
275	0.3323997342
276	0.3321246993
277	0.3319447111
278	0.3317898513
279	0.331234338
280	0.330890982
281	0.330598804
282	0.3301236157
