iter	Passed	Remaining
0	18	18144
1	37	18906
2	54	18064
3	64	16158
4	76	15137
5	88	14710
6	99	14105
7	110	13728
8	120	13269
9	130	12899
10	139	12561
11	148	12266
12	159	12095
13	169	11968
14	180	11850
15	190	11698
16	201	11622
17	212	11567
18	221	11436
19	229	11257
20	239	11153
21	249	11089
22	259	11012
23	268	10937
24	277	10835
25	287	10761
26	297	10710
27	305	10609
28	315	10554
29	323	10469
30	334	10467
31	346	10480
32	356	10444
33	366	10400
34	376	10377
35	386	10346
36	395	10296
37	404	10237
38	412	10175
39	421	10117
40	430	10076
41	439	10030
42	448	9970
43	455	9907
44	464	9858
45	472	9806
46	481	9761
47	491	9753
48	504	9784
49	515	9801
50	525	9772
51	536	9771
52	546	9771
53	556	9754
54	567	9743
55	576	9721
56	585	9685
57	594	9657
58	603	9624
59	613	9616
60	625	9630
61	634	9604
62	643	9568
63	652	9539
64	660	9502
65	668	9461
66	677	9432
67	685	9400
68	694	9372
69	703	9345
70	711	9309
71	719	9276
72	730	9278
73	740	9271
74	753	9291
75	763	9285
76	776	9304
77	786	9302
78	797	9294
79	807	9287
80	816	9263
81	826	9255
82	837	9253
83	845	9222
84	855	9206
85	864	9183
86	872	9155
87	881	9134
88	889	9107
89	898	9085
90	906	9052
91	915	9039
92	925	9022
93	933	8998
94	942	8974
95	951	8960
96	962	8959
97	973	8961
98	986	8974
99	994	8952
100	1006	8955
101	1015	8944
102	1026	8936
103	1037	8937
104	1046	8918
105	1053	8886
106	1061	8855
107	1068	8824
108	1076	8802
109	1085	8779
110	1093	8760
111	1102	8739
112	1111	8723
113	1119	8698
114	1128	8687
115	1138	8674
116	1147	8656
117	1155	8633
118	1163	8610
119	1170	8582
120	1177	8556
121	1185	8534
122	1193	8510
123	1201	8488
124	1209	8467
125	1218	8450
126	1225	8425
127	1233	8405
128	1241	8381
129	1249	8363
130	1258	8347
131	1266	8327
132	1274	8308
133	1285	8305
134	1294	8297
135	1304	8290
136	1314	8277
137	1322	8258
138	1329	8237
139	1342	8249
140	1355	8260
141	1368	8270
142	1377	8257
143	1387	8248
144	1396	8234
145	1404	8214
146	1411	8192
147	1420	8175
148	1428	8157
149	1436	8141
150	1444	8124
151	1453	8109
152	1462	8097
153	1472	8088
154	1481	8074
155	1491	8069
156	1501	8063
157	1511	8055
158	1522	8051
159	1535	8063
160	1549	8073
161	1559	8066
162	1569	8056
163	1578	8045
164	1586	8030
165	1594	8011
166	1603	7996
167	1611	7981
168	1621	7971
169	1630	7959
170	1640	7954
171	1650	7943
172	1659	7931
173	1669	7924
174	1677	7908
175	1686	7897
176	1696	7887
177	1704	7872
178	1714	7862
179	1723	7851
180	1732	7840
181	1741	7825
182	1750	7813
183	1760	7808
184	1770	7797
185	1779	7788
186	1789	7780
187	1810	7819
188	1820	7811
189	1829	7798
190	1837	7783
191	1849	7782
192	1860	7778
193	1871	7773
194	1880	7761
195	1890	7756
196	1902	7753
197	1913	7749
198	1921	7736
199	1931	7724
200	1939	7708
201	1948	7698
202	1957	7687
203	1966	7674
204	1975	7662
205	1984	7650
206	1995	7643
207	2005	7636
208	2015	7627
209	2024	7616
210	2033	7605
211	2043	7596
212	2054	7591
213	2067	7594
214	2077	7584
215	2086	7572
216	2094	7556
217	2102	7542
218	2112	7533
219	2121	7522
220	2130	7509
221	2139	7496
222	2150	7492
223	2162	7490
224	2171	7479
225	2182	7473
226	2190	7458
227	2199	7445
228	2208	7434
229	2217	7422
230	2225	7410
231	2234	7395
232	2243	7383
233	2251	7371
234	2260	7357
235	2269	7347
236	2278	7334
237	2286	7319
238	2308	7351
239	2329	7377
240	2347	7392
241	2358	7385
242	2365	7369
243	2374	7356
244	2382	7340
245	2389	7323
246	2397	7307
247	2407	7300
248	2417	7292
249	2425	7277
250	2434	7265
251	2443	7252
252	2451	7238
253	2461	7229
254	2471	7221
255	2483	7217
256	2491	7204
257	2501	7194
258	2511	7185
259	2521	7175
260	2531	7167
261	2540	7156
262	2549	7145
263	2560	7137
264	2570	7128
265	2581	7122
266	2590	7113
267	2600	7102
268	2607	7087
269	2616	7073
270	2624	7059
271	2632	7045
272	2641	7033
273	2652	7027
274	2662	7019
275	2672	7009
276	2681	6999
277	2689	6985
278	2698	6973
279	2707	6961
280	2715	6949
281	2724	6935
282	2732	6922
283	2741	6910
284	2749	6898
285	2760	6890
286	2770	6881
287	2780	6874
288	2790	6865
289	2799	6854
290	2809	6846
291	2822	6844
292	2838	6849
293	2848	6841
294	2857	6829
295	2865	6815
296	2874	6803
297	2883	6793
298	2894	6785
299	2906	6782
300	2916	6773
301	2924	6759
302	2932	6744
303	2940	6731
304	2950	6722
305	2957	6708
306	2966	6697
307	2975	6684
308	2983	6671
309	2992	6659
310	3001	6649
311	3010	6639
312	3021	6631
313	3029	6618
314	3038	6608
315	3047	6597
316	3056	6585
317	3068	6581
318	3079	6573
